IWord	Meaning	Date of Learning
onerous	[adj] (of a task or responsibility) involving a great deal of effort or trouble or difficulty	22/3/2015
odyssey	a long and eventful or adventurous journey or experience	22/3/2015
convivial	[adj](of an atmosphere or event) friendly lively and enjoyable	22/3/2015
pry	[no obj] enquire too inquisitively into a person's private affairs	22/3/2015
vagabond	[noun] a person who wanders from place to place without a home or job	22/3/2015
irksome	[adj] irritating; annoying	25/3/2015
footloose	[adj] able to travel freely and do as one pleases due to lack of responsibilities or commitments	25/3/2015
mirthless	[adj] (of a smile or laugh) lacking real amusement and typically expressing irony	25/3/2015
dissuade	[with obj] persuade (someone) not to take a particular course of action	25/3/2015
contumacious	[adj] (expecially of a defendant's behaviour) stubbornly or wilfully disobedient to authority	25/3/2015
privy	 [adj] (____ to) sharing in the knowledge of (something secret or private)	26/3/2015
bereave	 [v] be deprived of a close relation or friend through their death	26/3/2015
imbecile	 [n or adj] a stupid person	26/3/2015
sorority	[n] a society for female students in a university or college	26/3/2015
dismay	[n]concern and distress caused by something unexpected	29/3/2015
cede	[v] give up (power or territory)	29/3/2015
vagrant	[n] a person without a settled home or regular work who wanders from place to place and lives by begging	29/3/2015
veracity	[n] conformity to facts; accuracy	29/3/2015
vigilance	[n] the action or state of keeping careful watch for possible danger or difficulties	30/3/2015
bane	[n] a cause of great distress or annoyance	30/3/2015
relent	[v] abandon or mitigate a severe or hard attitude especially by finally yielding to a request	30/3/2015
vitality	[n] the state of being strong and active; energy	30/3/2015
poise	[n] graceful and elegant bearing in a person	30/3/2015
audacious	[adj] showing a willingness to take surprisingly bold risks; showing an impudent lack of respect	31/3/2015
sot	[n] [v] a habitual drunkard	31/3/2015
enamour	[v] be filled with love for	31/3/2015
pratfall	[n] a fall on to one's buttocks	31/3/2015
contrite	[adj] feeling or expressing remorse at the recognition that one has done wrong	31/3/2015
centaur	[n] a creature with the head arms and torso of a man and the body and legs of a horse	1/4/2015
infuriating	[adj] making one extremely angry and impatient	1/4/2015
effeminate	[adj] (of a man) having characteristics regarded as typical of a woman; unmanly	1/4/2015
slug	[n] a slow or a lazy person; an amount of alcoholic drink that is gulped or poured	1/4/2015
commemorate	[v] recall and show respect for (someone or something)	1/4/2015
cognition	[n] the mental action or process of acquiring knowledge and understanding through thought experience and the senses	3/4/2015
harangue	[n] a lengthy and aggressive speech; [v] lecture (someone) at length in an aggressive and critical manner	3/4/2015
nihilistic	[adj] rejecting all religious and moral principles in the belief that life is meaningless	3/4/2015
mortician	[n] an undertaker	3/4/2015
subservient	[adj] prepared to obey others unquestioningly	3/4/2015
compatriot	[n] a fellow citizen or national of a country	30/6/2015
banal	[adj] so lacking in originality as to be obvious and boring	30/6/2015
agronomy	[n] the science of soil management and crop production	30/6/2015
exodus	[n] a mass departure of people	30/6/2015
upheaval	[n] a violent or sudden change or disruption to something	2/7/2015
dispel	[v] make (a doubt or feeling or disbelief) disappear	2/7/2015
rebuff	[v] reject (someone or something) in an abrupt or ungracious manner	2/7/2015
trifle	a thing of little value or importance	2/7/2015
prostrate	[adj] lying stretched out on the ground with one's face downwards	4/7/2015
squabble	[n] a noisy quarrel about something trivial	4/7/2015
indemnity	[n] security or protection against a loss or other financial burden	4/7/2015
truce	[n] an agreement between enemies or opponenets to stop fighting or arguing for a certain time	4/7/2015
improbable	[adj] not likely to be true or to happen; unexpected and apparently inauthentic	4/7/2015
implore	[v] beg someone earnestly or desperately to do something	5/7/2015
deceive	[v] deliberately cause (someone) to believe something that is not true, espeically for personal gain	5/7/2015
buxom	[adj] (of a woman) plump, with a full figure and large breasts	5/7/2015
conundrum	[n] a confusing and difficult problem or question	5/7/2015
laggard	[n] a person who makes slow progress and falls behind others	5/7/2015
cumbersome	[adj] large or heavy and therefore difficult to carry or use	7/7/2015
exalted	[adj] (of a person or their rank or status) at a high or powerful level; of a noble, elevated, or lofty nature	7/7/2015
insidious	[adj] causing harm in a way that is gradual or not easily noticed	7/7/2015
sumptuous	[adj] splendid and expensive looking	7/7/2015
insurgent	a rebel or revolutionary; rising in active revolt	7/7/2015
dearth	[n] a scarcity or lack of something	11/7/2015
strive	[v] make great efforts to achieve or obtain something	11/7/2015
tumult	[n] a loud, confused noise, especially one caused by a large mass of people	11/7/2015
slender	[adj] (of a person or part of the body) gracefully thin; barely sufficient in amount or basis	11/7/2015
mutiny	[n] an open rebellion against the proper authorities, especially by soldiers or sailors against their officers; [v] refuse to obey the orders of a person in authority	11/7/2015
relinquish	[v] voluntarily cease to keep or claim; give up	12/7/2015
nigh	[adj] near; almost	12/7/2015
poxy	[adj] of poor quality; worthless	12/7/2015
frivolous	[adj] not having any serious purpose or value	12/7/2015
conjual	[adj] relating to marriage or the relationship between husband and wife	16/7/2015
misdemeanour	[n] a minor wrongdoing	16/7/2015
brazen	[adj] bold and without shame; made of brass	16/7/2015
usurp	[v] take (a postition of power or importance) illegally or by force	16/7/2015
gaoler	[n] (another word for jailer), a person in charge of a jail or of the prisoners in it	16/7/2015
desist	[v] stop doing something; cease or abstain	17/7/2015
titter	[v] give a short, half suppressed laugh; giggle	17/7/2015
vigour	[n] physical strength and good health; effort, energy and enthusiasm	17/7/2015
lure	[v] tempt (a person or animal) to do something or to go somewhere, especially by offering some form of reward	17/7/2015
defer	[v] put off (an action or event) to a later time	17/7/2015
cringe	bend one's head and body in fear or apprehension or in a servile manner	28/7/2015
celibate	[adj] abstaining from marriage and sexual relations, typically for religious reasons	28/7/2015
gallant	[adj] (of a person or their behaviour) brave; heroic	28/7/2015
exacerbate	[v] make (a problem, bad situation, or negative feeling) worse	28/7/2015
truancy	[n] the action of staying away form school without good reason; absenteeism	28/7/2015
gravel	[v] lie or crawl abjectly on the ground with one's face downwards	28/7/2015
rapture	[n] a feeling of intense pleasure or joy	4/8/2015
yonder	[adv] at some distance in the direction indicated; over there	4/8/2015
contempt	[n] the feeling that a person or a thing is worthless or deserving scorn	4/8/2015
patron	[n] a person who gives financial or other support to a person, organisation or cause	4/8/2015
hansom	[n] a two wheeled horse drawn cab accommodating two inside, with the driver seated behind	4/8/2015
wary	[adv] feeling or showing caution about possible dangers or problems	7/8/2015
jujitsu	[n] a Japanese system of unarmed combat and physical training	7/8/2015
conspicuous	[adj] clearly visible; attracting notice or attention	7/8/2015
stocky	[adj] broad and sturdily built	7/8/2015
paucity	[n] the presence of something in only small or insufficient quantities or amounts	7/8/2015
captivate	[v] capable of attracting and holding interest	9/8/2015
indigenous	[adj] originating or occurring naturally in a particular place; native	9/8/2015
deadpan	[adj] impassive or expressionless	9/8/2015
quixotic	extremely idealistic; unrealistic and impractical	9/8/2015
coercion	[n] the action or practice of persuading someone to do something by using force or threats	9/8/2015
stolid	[adj] calm, dependable, and showing little emotion or animation	9/8/2015
pageant	[n] a public entertainment consisting of a procession of people in elaborate, colourful costumes, or an outdoor performae of a historical scene; a beauty contest	11/8/2015
adultery	[n] voluntary sexual intercourse between a married person and a person who is not their spouse	11/8/2015
imposing	[adj] grand and impressive in appearance	11/8/2015
glum	[adj] looking or feeling dejected; morose	11/8/2015
catastrophic	[adj] involving or causing sudden great damage or suffering	11/8/2015
parasol	[n] a light umbrella used to give shade from the sun	12/8/2015
satire	[n] the use of humour, irony, exaggeration, or ridicule to expose and criticize people's stupidity or vices, particularly in the context of contemporary politics and other topical issues	12/8/2015
nomad	[n] a member of a people that travels from place to place to find fresh pasture for its animals and has no permanent home	13/8/2015
zealot	[n] a person who is fanatical and uncompressing in pursuit of their religious, political, or other ideals	13/8/2015
confide	[v] tell someone about a secret or private matter while trusting them not to repeat it to others	13/8/2015
sternum	[n] the breastbone	13/8/2015
vagary	[n] an unexpected and inexplicable change in a situation or in someone's behaviour	13/8/2015
geld	[v] castrate (a male animal)	13/8/2015
stalemate	[n] a position counting as a draw, in which a player is not in check but cannot move except into check; a situation in which further action of progress by opposing or competing parties seems impossible	19/8/2015
covet	[v] yearn to possess (Something, especially belonging to another)	19/8/2015
enticing	[adj] attractive or tempting; alluring	19/8/2015
strenuous	[adj] requiring or using great effort or exertion	19/8/2015
wail	a prolonged high pitched cry of pain; grief; or anger	19/8/2015
boisterous	[adj] noisy, energetic, and cheerful	19/8/2015
somnolent	[adj] sleepy; drowsy	20/8/2015
abysmal	[adj] extremely bad; appalling; very deep	20/8/2015
devour	 [v] eat (food or prey) hungrily or quickly; read quickly and eagerly	20/8/2015
inoculate	[v] treat with a vaccine to produce immunity against a disease; vaccinate	20/8/2015
heist	[n] a robbery; [v] steal	20/8/2015
atrocity	[n] an extremely wicked or cruel act, typically one involving physical violence or injury	20/8/2015
loquacity	[n] the quality of talking a great deal; talkativeness	20/8/2015
asphyxiate	[v] kill (someone) by depriving them of air	5/9/2015
constrictor	[n] a snake that kills by coiling round its prey and asphyxiating it	5/9/2015
vexed	[adj] (of a problem or issue) difficult and much debated	5/9/2015
coiffure	[n] a person's hairstyle	5/9/2015
allegory	a story; poem or picture which can be interpreted to reveal a hidden meaning; typically a moral or political one	5/9/2015
realm	[n] a kingdom	5/9/2015
posthumous	[adj] occurring, awarded, or appearing after the death of the originator	7/9/2015
tyrant	[n] a cruel and opressive ruler	7/9/2015
repudiate	[v] refuse to accept; reject; deny the truth or validity of	7/9/2015
whet	[v] sharpen the blade of (a tool or weapon); excite or stimulate (someone's desire, interest, or appetite)	7/9/2015
oration	[n] a formal speech, especially one given on a ceremonial occasion	9/9/2015
blizzard	a severe snowstorm with high winds; a large or overwhelming number of things arriving suddenly	9/9/2015
dilapidated	(of a building or object) in a state of disrepair or ruin as a result of age or neglect	9/9/2015
accost	[v, with obj] approach and address (someone) boldly or aggressively	9/9/2015
summon	[v, with obj] order (someone) to be present	9/9/2015
upbraid	[v, with obj] find fault with (someone), scold	9/9/2015
arson	[n] the criminal act of deliberately setting fire to property	29/9/2015
wuss	[n] a weak or ineffectual person (often used as a general term of abuse)	29/9/2015
refute	[v, with obj] prove (a statement or theory) to be wrong or false; disprove	29/9/2015
trudge	[v] walk slowly and with heavy steps, typically because of exhaustion or harsh conditions	29/9/2015
gruelling	[adj] extremely tiring and demanding	29/9/2015
fluster	 make (someone) agitated or confused	29/9/2015
meddle	[v] interfere in something that is not one's concern	30/9/2015
sieve	[n] a utensil consisting of a wire or plastic mesh held in a frame, used for straining solids from liquids, for separating coarser from finer particles, or for reducing soft solids to a pulp	30/9/2015
intransigent	[adj] unwilling or refusing to change one's views or to agree about something	30/9/2015
elicit	to bring out or draw out (something latent) from someone; to arrive at (a truth; for example) by logic	30/9/2015
vandalize	[v, with obj] deliberately destroy or damage (public or private property)	30/9/2015
pang	[n] a sudden sharp pain or painful emotion	30/9/2015
defection	[n] the desertion of one's country or cause in favour of an opposing one	1/10/2015
intermittent	[adj] occurring at irregular intervals; not continuous or steady	1/10/2015
logrolling	[n] the practice of exchanging favours, especially in politics by reciprocal voting for reach other's proposed legislation	1/10/2015
deter	[v] discourage (someone) from doing something by instilling doubt or fear of the consequences	1/10/2015
rendezvous	[n] a meeting at an agreed time and place	1/10/2015
forlorn	[adj] pitifully sad and abandoned or lonely; (of an aim or endeavour) unlikely to succeed or be fulfilled	2/10/2015
pulverize	[v] reduce to fine particles	2/10/2015
vehement	[adj] showing strong feeling; forceful, passionate, or intense	2/10/2015
grovel	[v] lie or crawl abjectly on the ground with one's face downwards	2/10/2015
ardent	[adj] very enthusiastic or passionate	2/10/2015
vie	[v] compete eagerly with someone in order to do or achieve something	3/10/2015
inveterate	[adj] having a particular habit, activity, or interest that is long established and unlikely to change	3/10/2015
inexorable	[adj] impossible to stop or prevent	3/10/2015
gusto	[n] enjoyment and enthusiasm in doing something	3/10/2015
thrall	[n] the state of being in someone's power, or of having great power	3/10/2015
rapturous	[adj] characterized by, feeling, or expressing great pleasure or enthusiasm	5/10/2015
chagrin	[n] annoyance or distress at having failed or been humiliated	5/10/2015
euphoria	[n] a feeling or state of intense excitement and happiness	5/10/2015
ruminate	[v, no obj] think deeply about something	5/10/2015
vigil	[n] a period of keeping awake during the time usually spent asleep, especially to keep watch or pray	5/10/2015
brooding	[adj] engaged in or showing deep thought about something that makes one sad or angry or worried	6/10/2015
infanticide	[n] the crime of a mother killing her child within a year of birth	6/10/2015
crestfallen	[adj] sad and disappointed	6/10/2015
denizen	[n] a person, animal, or plant that lives or is found in a particular place	6/10/2015
acquiesce	[v, no obj] accept something reluctantly but without protest	6/10/2015
cabaret	[n] entertainment held in a nightclub or restaurant while the audience eat or drink at tables	7/10/2015
theology	[n] the study of the nature of God and religious belief	7/10/2015
quash	[v, with obj] reject as invalid, especially by legal procedure	7/10/2015
incarcerate	[n] imprison or confine	7/10/2015
cajole	[v, with obj] persuade (someone) to do something by sustained coaxing or flattery	7/10/2015
dotard 	[n] an old person, especially who has become weak or senile	8/10/2015
nefarious	[adj] (typically of an action or activity) wicked or criminal	8/10/2015
hoarse	[adj] (of a person's voice) sounding rough and harsh, typically as the result of a sore throat of shouting	8/10/2015
avid	 having or showing a keen interest in or enthusiasm for something	8/10/2015
doctrine	[n] a belief or set of beliefs held and taught by a Church, polictical party, or other group 	8/10/2015
reproach	express to (someone) one's disapproval of or disappointment	11/10/2015
cede	[v, with obj] give up (power or territory)	11/10/2015
sublime	[adj] of very great excellence or beauty	11/10/2015
prattle	[v, no obj] talk at length in a foolish or inconsequential way	11/10/2015
hymm	[n] a religious song or poem of praise to God or a god	11/10/2015
dawdle	[v, no obj] waste time; be slow; move slowly and idly in a particular direction	21/10/2015
botch	[v, with obj] carry out (a task) badly or carelessly	21/10/2015
invigorate	[v, with obj] give strength or energy to 	21/10/2015
erudition	[n] the quality of having or showing great knowledge or Learning	21/10/2015
neologism	[n] a newly coined word or expression; the coining or use of new words	21/10/2015
flagellation	[n] flogging or beating, either as a religious discipline or for sexual gratification	26/10/2015
boudoir	[n] a woman's bedroom or small private room	26/10/2015
bereft	[adj] (____ of) deprived of or lacking (something); sad or lonely, especially through someone's death or departure	26/10/2015
assiduous	[adj] showing great care and perseverance	26/10/2015
conceit	excessively proud of onself; vain	26/10/2015
obstinate	[adj] stubbornly refusing to change one's opinion or chosen course of action, despite ats to persuade one to do so	27/10/2015
diminutive	[adj] extremely or unusually small	27/10/2015
codswallop	[n] nonsense	27/10/2015
groggy	[adj] dazed, weak, or unsteady, especially from illness, intoxication, sleep, or a blow	27/10/2015
voluble	[adj] (of a person) talking fluently, readily, or incessantly	27/10/2015
